ds,y,price_mean,promo_sum,supplier_cost_mean,lead_time_mean,stock_mean,dow,month,year
2022-01-11,1229.0,15.586753873268826,0.0,12.13828452911748,5.0,195.0,1,1,2022
2022-01-12,0.0,15.586753873268826,0.0,12.13828452911748,5.0,195.0,2,1,2022
2022-01-13,0.0,15.586753873268826,0.0,12.13828452911748,5.0,195.0,3,1,2022
2022-01-14,0.0,15.586753873268826,0.0,12.13828452911748,5.0,195.0,4,1,2022
2022-01-15,0.0,15.586753873268826,0.0,12.13828452911748,5.0,195.0,5,1,2022
2022-01-16,0.0,15.586753873268826,0.0,12.13828452911748,5.0,195.0,6,1,2022
2022-01-17,0.0,15.586753873268826,0.0,12.13828452911748,5.0,195.0,0,1,2022
2022-01-18,0.0,15.586753873268826,0.0,12.13828452911748,5.0,195.0,1,1,2022
2022-01-19,0.0,15.586753873268826,0.0,12.13828452911748,5.0,195.0,2,1,2022
2022-01-20,1419.0,16.066165797506997,1.0,5.361546226135288,6.0,252.0,3,1,2022
2022-01-21,0.0,16.066165797506997,0.0,5.361546226135288,6.0,252.0,4,1,2022
2022-01-22,0.0,16.066165797506997,0.0,5.361546226135288,6.0,252.0,5,1,2022
2022-01-23,0.0,16.066165797506997,0.0,5.361546226135288,6.0,252.0,6,1,2022
2022-01-24,0.0,16.066165797506997,0.0,5.361546226135288,6.0,252.0,0,1,2022
2022-01-25,0.0,16.066165797506997,0.0,5.361546226135288,6.0,252.0,1,1,2022
2022-01-26,0.0,16.066165797506997,0.0,5.361546226135288,6.0,252.0,2,1,2022
2022-01-27,0.0,16.066165797506997,0.0,5.361546226135288,6.0,252.0,3,1,2022
2022-01-28,0.0,16.066165797506997,0.0,5.361546226135288,6.0,252.0,4,1,2022
2022-01-29,0.0,16.066165797506997,0.0,5.361546226135288,6.0,252.0,5,1,2022
2022-01-30,1745.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,6,1,2022
2022-01-31,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,0,1,2022
2022-02-01,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,1,2,2022
2022-02-02,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,2,2,2022
2022-02-03,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,3,2,2022
2022-02-04,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,4,2,2022
2022-02-05,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,5,2,2022
2022-02-06,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,6,2,2022
2022-02-07,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,0,2,2022
2022-02-08,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,1,2,2022
2022-02-09,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,2,2,2022
2022-02-10,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,3,2,2022
2022-02-11,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,4,2,2022
2022-02-12,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,5,2,2022
2022-02-13,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,6,2,2022
2022-02-14,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,0,2,2022
2022-02-15,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,1,2,2022
2022-02-16,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,2,2,2022
2022-02-17,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,3,2,2022
2022-02-18,0.0,8.700893478629125,0.0,3.825803767046249,3.0,461.0,4,2,2022
2022-02-19,1036.0,12.375565621902044,0.0,3.552350625147473,1.0,495.0,5,2,2022
2022-02-20,0.0,12.375565621902044,0.0,3.552350625147473,1.0,495.0,6,2,2022
2022-02-21,674.0,5.503529285058388,0.0,2.630367891964676,1.0,429.0,0,2,2022
2022-02-22,343.0,5.4588067269694704,0.0,5.468354624576563,2.0,391.0,1,2,2022
